"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,12.08.2020,12:46:00,452.964,453.1,452.84,452.935,90924
AAPL,NASDAQ,13.08.2020,08:01:00,454.5,455,453.03,454.8,40025
AAPL,NASDAQ,13.08.2020,13:01:00,463.78,464.17,463.654,463.933,155196
AAPL,NASDAQ,14.08.2020,11:05:00,452.59,452.7,452.18,452.51,109414
AAPL,NASDAQ,14.08.2020,08:01:00,459.173,461.54,458.3,461,31740
AAPL,NASDAQ,17.08.2020,11:47:00,456.04,456.13,455.85,456,74581
AAPL,NASDAQ,17.08.2020,09:26:00,464.32,464.49,464.3,464.45,4326
AAPL,NASDAQ,18.08.2020,10:31:00,456.4,456.95,456.03,456.8,74520
AAPL,NASDAQ,18.08.2020,14:24:00,463.73,464,463.7,463.885,118368
AAPL,NASDAQ,19.08.2020,08:46:00,461.89,461.9,461.81,461.81,1765
AAPL,NASDAQ,19.08.2020,11:05:00,468.2,468.65,468.16,468.16,106132
AAPL,NASDAQ,20.08.2020,16:35:00,474.44,474.48,462.83,474.29,15148
AAPL,NASDAQ,20.08.2020,17:57:00,475.5,476,475.5,475.69,2981
AAPL,NASDAQ,21.08.2020,08:12:00,474.645,474.645,474,474,8147
AAPL,NASDAQ,21.08.2020,15:14:00,499.31,499.472,498.73,498.79,249246
AAPL,NASDAQ,24.08.2020,10:55:00,497.17,497.81,495.745,496.265,333731
AAPL,NASDAQ,24.08.2020,09:29:00,513.17,515.98,513.16,514.8,111922
AAPL,NASDAQ,25.08.2020,10:13:00,492.509,493.366,492.21,493.153,257364
AAPL,NASDAQ,25.08.2020,08:01:00,504.25,504.99,500.21,500.78,61715
AAPL,NASDAQ,26.08.2020,10:24:00,501.32,501.36,500.33,500.418,96605
AAPL,NASDAQ,26.08.2020,09:43:00,507.9,507.97,507.01,507.13,145956
AAPL,NASDAQ,27.08.2020,12:54:00,496.91,496.93,495.33,495.335,228212
AAPL,NASDAQ,27.08.2020,09:32:00,508.95,509.94,508.71,509.72,194990
AAPL,NASDAQ,28.08.2020,13:34:00,499.11,499.15,498.31,498.832,160057
AAPL,NASDAQ,28.08.2020,15:51:00,503.14,505.77,502.99,504.33,454881
AAPL,NASDAQ,31.08.2020,09:11:00,125.4,125.4,125.02,125.04,69650
AAPL,NASDAQ,31.08.2020,13:48:00,130.864,131,130.85,130.965,377173
